model,hyperparameters,time,accuracy
DecisionTreeClassifier,"{'criterion': 'log_loss', 'max_depth': 45, 'accuracy': 0.7849462365591398}",0.0289993286132812,0.7849462365591398
DecisionTreeClassifier,"{'criterion': 'entropy', 'max_depth': 35, 'accuracy': 0.7795698924731183}",0.0150120258331298,0.7795698924731183
DecisionTreeClassifier,"{'criterion': 'entropy', 'max_depth': 2, 'accuracy': 0.8010752688172043}",0.1059567928314209,0.8010752688172043
DecisionTreeClassifier,"{'criterion': 'entropy', 'max_depth': 17, 'accuracy': 0.7741935483870968}",0.0409977436065673,0.7741935483870968
DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 19, 'accuracy': 0.7634408602150538}",0.0540013313293457,0.7634408602150538
DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 32, 'accuracy': 0.7795698924731183}",0.0439987182617187,0.7795698924731183
DecisionTreeClassifier,"{'criterion': 'log_loss', 'max_depth': 14, 'accuracy': 0.7741935483870968}",0.04301118850708,0.7741935483870968
DecisionTreeClassifier,"{'criterion': 'log_loss', 'max_depth': 30, 'accuracy': 0.8010752688172043}",0.0183663368225097,0.8010752688172043
DecisionTreeClassifier,"{'criterion': 'log_loss', 'max_depth': 49, 'accuracy': 0.7795698924731183}",0.0304000377655029,0.7795698924731183
DecisionTreeClassifier,"{'criterion': 'entropy', 'max_depth': 10, 'accuracy': 0.8010752688172043}",0.0623970031738281,0.8010752688172043
DecisionTreeClassifier,"{'criterion': 'log_loss', 'max_depth': None, 'accuracy': 0.7634408602150538}",0.0423972606658935,0.7634408602150538
DecisionTreeClassifier,"{'criterion': 'log_loss', 'max_depth': 54, 'accuracy': 0.7688172043010753}",0.0244021415710449,0.7688172043010753
DecisionTreeClassifier,"{'criterion': 'log_loss', 'max_depth': 13, 'accuracy': 0.7956989247311828}",0.0169975757598876,0.7956989247311828
DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 54, 'accuracy': 0.7956989247311828}",0.0353977680206298,0.7956989247311828
DecisionTreeClassifier,"{'criterion': 'entropy', 'max_depth': 32, 'accuracy': 0.7688172043010753}",0.0160026550292968,0.7688172043010753
DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 5, 'accuracy': 0.8440860215053764}",0.109241247177124,0.8440860215053764
DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 17, 'accuracy': 0.7849462365591398}",0.0370051860809326,0.7849462365591398
DecisionTreeClassifier,"{'criterion': 'log_loss', 'max_depth': 2, 'accuracy': 0.8010752688172043}",0.0270040035247802,0.8010752688172043
DecisionTreeClassifier,"{'criterion': 'log_loss', 'max_depth': 56, 'accuracy': 0.8064516129032258}",0.0523867607116699,0.8064516129032258
DecisionTreeClassifier,"{'criterion': 'log_loss', 'max_depth': 11, 'accuracy': 0.7956989247311828}",0.0843987464904785,0.7956989247311828
DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 27, 'accuracy': 0.7849462365591398}",0.0763852596282959,0.7849462365591398
DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 45, 'accuracy': 0.7634408602150538}",0.022998571395874,0.7634408602150538
DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 12, 'accuracy': 0.7795698924731183}",0.0520079135894775,0.7795698924731183
DecisionTreeClassifier,"{'criterion': 'entropy', 'max_depth': 54, 'accuracy': 0.8118279569892473}",0.0450026988983154,0.8118279569892473
DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 52, 'accuracy': 0.7688172043010753}",0.0379977226257324,0.7688172043010753
DecisionTreeClassifier,"{'criterion': 'log_loss', 'max_depth': 10, 'accuracy': 0.8225806451612904}",0.0459997653961181,0.8225806451612904
DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 36, 'accuracy': 0.7741935483870968}",0.0350012779235839,0.7741935483870968
DecisionTreeClassifier,"{'criterion': 'log_loss', 'max_depth': 5, 'accuracy': 0.8494623655913979}",0.0230004787445068,0.8494623655913979
DecisionTreeClassifier,"{'criterion': 'log_loss', 'max_depth': 26, 'accuracy': 0.7849462365591398}",0.0903987884521484,0.7849462365591398
DecisionTreeClassifier,"{'criterion': 'log_loss', 'max_depth': 55, 'accuracy': 0.7903225806451613}",0.035020112991333,0.7903225806451613
DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 37, 'accuracy': 0.7849462365591398}",0.1293964385986328,0.7849462365591398
DecisionTreeClassifier,"{'criterion': 'entropy', 'max_depth': 5, 'accuracy': 0.8494623655913979}",0.0289926528930664,0.8494623655913979
DecisionTreeClassifier,"{'criterion': 'log_loss', 'max_depth': 38, 'accuracy': 0.7688172043010753}",0.0360069274902343,0.7688172043010753
DecisionTreeClassifier,"{'criterion': 'entropy', 'max_depth': 27, 'accuracy': 0.7903225806451613}",0.0280015468597412,0.7903225806451613
DecisionTreeClassifier,"{'criterion': 'entropy', 'max_depth': 41, 'accuracy': 0.8010752688172043}",0.0390090942382812,0.8010752688172043
DecisionTreeClassifier,"{'criterion': 'entropy', 'max_depth': 50, 'accuracy': 0.7849462365591398}",0.040001630783081,0.7849462365591398
DecisionTreeClassifier,"{'criterion': 'log_loss', 'max_depth': 22, 'accuracy': 0.8010752688172043}",0.0343382358551025,0.8010752688172043
DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 39, 'accuracy': 0.7849462365591398}",0.0723593235015869,0.7849462365591398
DecisionTreeClassifier,"{'criterion': 'log_loss', 'max_depth': 44, 'accuracy': 0.7688172043010753}",0.034708023071289,0.7688172043010753
DecisionTreeClassifier,"{'criterion': 'gini', 'max_depth': 11, 'accuracy': 0.7526881720430108}",0.0577127933502197,0.7526881720430108
DecisionTreeClassifier,"{'criterion': 'log_loss', 'max_depth': 40, 'accuracy': 0.7956989247311828}",0.0416991710662841,0.7956989247311828
